Example of what Bundles the MCU sends to Radio APP.
01-01 14:02:42.870 D/radioDataBundle( 2359): Bundle{ type => freq; value => 95100000; }Bundle
01-01 14:02:42.873 D/radioDataBundle( 2359): Bundle{ type => stereo; value => 0; }Bundle
01-01 14:02:42.990 D/radioDataBundle( 2359): Bundle{ type => freq; value => 95150000; }Bundle
01-01 14:02:42.994 D/radioDataBundle( 2359): Bundle{ type => stereo; value => 0; }Bundle
01-01 14:02:43.109 D/radioDataBundle( 2359): Bundle{ type => freq; value => 95200000; }Bundle
01-01 14:02:43.113 D/radioDataBundle( 2359): Bundle{ type => stereo; value => 0; }Bundle
01-01 14:02:43.229 D/radioDataBundle( 2359): Bundle{ type => freq; value => 95250000; }Bundle
01-01 14:02:43.233 D/radioDataBundle( 2359): Bundle{ type => stereo; value => 0; }Bundle
01-01 14:02:43.350 D/radioDataBundle( 2359): Bundle{ type => freq; value => 95300000; }Bundle
01-01 14:02:43.354 D/radioDataBundle( 2359): Bundle{ type => stereo; value => 0; }Bundle
01-01 14:02:43.469 D/radioDataBundle( 2359): Bundle{ type => freq; value => 95350000; }Bundle
01-01 14:02:43.472 D/radioDataBundle( 2359): Bundle{ type => stereo; value => 0; }Bundle
01-01 14:02:43.589 D/radioDataBundle( 2359): Bundle{ type => freq; value => 95400000; }Bundle
01-01 14:02:43.593 D/radioDataBundle( 2359): Bundle{ type => stereo; value => 0; }Bundle
01-01 14:02:43.708 D/radioDataBundle( 2359): Bundle{ type => freq; value => 95450000; }Bundle
01-01 14:02:43.710 D/radioDataBundle( 2359): Bundle{ type => stereo; value => 0; }Bundle
01-01 14:02:43.830 D/radioDataBundle( 2359): Bundle{ type => freq; value => 95500000; }Bundle
01-01 14:02:43.834 D/radioDataBundle( 2359): Bundle{ type => stereo; value => 0; }Bundle
01-01 14:02:43.948 D/radioDataBundle( 2359): Bundle{ type => freq; value => 95550000; }Bundle
01-01 14:02:43.950 D/radioDataBundle( 2359): Bundle{ type => stereo; value => 0; }Bundle
01-01 14:02:44.069 D/radioDataBundle( 2359): Bundle{ type => freq; value => 95600000; }Bundle
01-01 14:02:44.074 D/radioDataBundle( 2359): Bundle{ type => stereo; value => 0; }Bundle
01-01 14:02:44.190 D/radioDataBundle( 2359): Bundle{ type => freq; value => 95650000; }Bundle
01-01 14:02:44.194 D/radioDataBundle( 2359): Bundle{ type => stereo; value => 0; }Bundle
01-01 14:02:44.309 D/radioDataBundle( 2359): Bundle{ type => freq; value => 95700000; }Bundle
01-01 14:02:44.313 D/radioDataBundle( 2359): Bundle{ type => stereo; value => 0; }Bundle
01-01 14:02:44.430 D/radioDataBundle( 2359): Bundle{ type => freq; value => 95750000; }Bundle
01-01 14:02:44.433 D/radioDataBundle( 2359): Bundle{ type => stereo; value => 0; }Bundle
01-01 14:02:44.550 D/radioDataBundle( 2359): Bundle{ type => freq; value => 95800000; }Bundle
01-01 14:02:44.553 D/radioDataBundle( 2359): Bundle{ type => stereo; value => 0; }Bundle
01-01 14:02:44.669 D/radioDataBundle( 2359): Bundle{ type => freq; value => 95850000; }Bundle
01-01 14:02:44.675 D/radioDataBundle( 2359): Bundle{ type => stereo; value => 0; }Bundle
01-01 14:02:44.790 D/radioDataBundle( 2359): Bundle{ type => freq; value => 95900000; }Bundle
01-01 14:02:44.794 D/radioDataBundle( 2359): Bundle{ type => stereo; value => 0; }Bundle
01-01 14:02:44.910 D/radioDataBundle( 2359): Bundle{ type => freq; value => 95950000; }Bundle
01-01 14:02:44.916 D/radioDataBundle( 2359): Bundle{ type => stereo; value => 0; }Bundle
01-01 14:02:45.029 D/radioDataBundle( 2359): Bundle{ type => freq; value => 96000000; }Bundle
01-01 14:02:45.033 D/radioDataBundle( 2359): Bundle{ type => stereo; value => 0; }Bundle
01-01 14:02:45.149 D/radioDataBundle( 2359): Bundle{ type => freq; value => 96050000; }Bundle
01-01 14:02:45.154 D/radioDataBundle( 2359): Bundle{ type => stereo; value => 0; }Bundle
01-01 14:02:45.270 D/radioDataBundle( 2359): Bundle{ type => freq; value => 96100000; }Bundle
01-01 14:02:45.273 D/radioDataBundle( 2359): Bundle{ type => stereo; value => 0; }Bundle
